m,MSR,CSR
2,5.0,4.0
3,4.5,42.0
4,4.5,26.0
5,4.5,18.0
6,4.5,6.0
7,4.0,48.0
8,4.0,40.0
9,4.0,30.0
10,4.0,22.0
11,4.0,14.0
12,4.0,6.0
13,4.0,0.0
14,3.5,44.0
15,3.5,37.0
16,3.5,29.0
17,3.5,23.0
18,3.5,17.0
19,3.5,8.0
20,3.5,4.0
21,3.5,0.0
-2,6.5,28.0
-3,6.5,45.0
-4,7.0,6.0
-5,7.0,16.0
-6,7.0,26.0
-7,7.0,30.0
-8,7.0,37.0
-9,7.0,45.0
-10,7.5,3.0
-11,7.5,9.0
-12,7.5,15.0
-13,7.5,22.0
-14,7.5,30.0
-15,7.5,36.0
-16,7.5,42.0
-17,7.5,46.0
-18,8.0,1.0
-19,8.0,4.0
-20,8.0,7.0
-21,8.0,9.0
