0.6,0.0
1,0.0
2,0.0
3,0.0
4,1e-11
5,1e-11
6,2e-11
7,2.55e-09
8,1.73e-08
9,4.37e-08
10,8.34e-08
11,1.14e-07
12,1.352e-07
13,1.55e-07
14,1.689e-07
15,1.812e-07
16,1.932e-07
17,1.962e-07
18,1.9e-07
19,1.767e-07
20,5.25e-08
21,1.317e-07
22,1.306e-07
23,1.471e-07
24,1.752e-07
25,2.05e-07
26,2.37e-07
27,2.62e-07
28,2.77e-07
29,2.74e-07
30,2.48e-07
31,2.02e-07
32,1.51e-07
33,1.15e-07
34,1.23e-07
35,1.71e-07
36,2.22e-07
37,2.83e-07
38,3.26e-07
39,3.52e-07
40,3.57e-07
41,3.4e-07
42,2.9e-07
43,2.21e-07
44,1.48e-07
45,1.16e-07
46,1.41e-07
47,2.08e-07
48,2.94e-07
49,3.62e-07
50,4.14e-07
51,4.32e-07
52,4.32e-07
53,4.07e-07
54,3.56e-07
55,2.72e-07
56,1.94e-07
57,1.61e-07
58,1.84e-07
59,2.43e-07
60,3.28e-07
61,3.98e-07
62,4.64e-07
63,4.96e-07
64,5.03e-07
65,4.86e-07
66,4.37e-07
67,3.62e-07
68,2.87e-07
69,2.42e-07
70,2.38e-07
71,2.8e-07
72,3.64e-07
73,4.42e-07
74,5.02e-07
75,5.51e-07
76,5.72e-07
77,5.7e-07
78,5.38e-07
79,4.89e-07
80,4.18e-07
