wave-length (nm),A
339.78,0.1958
340.159,0.1958
340.537,0.1958
340.915,-0
341.293,-0.258
341.671,0.2959
342.049,0.3389
342.427,-0
342.805,0.3874
343.183,-0.8895
343.561,-0.0625
343.939,-0.4463
344.317,-0.3571
344.694,-0
345.072,0.2187
345.45,-0
345.827,-0.2216
346.205,0.3421
346.583,-0
346.96,-1.6912
347.338,-0
347.715,0.4324
348.092,-0
348.47,0.2963
348.847,-0
349.224,-0.196
349.601,-0
349.979,-0
350.356,0.0579
350.733,-0
351.11,-0.0841
351.487,-0.0542
351.864,-0
352.241,-0
352.618,-0.648
352.995,-0.2298
353.372,1.2279
353.748,-0
354.125,-0
354.502,-0.3173
354.878,0.1306
355.255,0.2512
355.632,0.8341
356.008,-0
356.385,-0
356.761,0.2852
357.137,0.0765
357.514,0.446
357.89,-0
358.266,-0.0059
358.643,1.1614
359.019,-0
359.395,-0.223
359.771,0.252
360.147,-0
360.523,-0.1845
360.899,1.7551
361.275,-0.207
361.651,0.2822
362.027,-0.4193
362.403,-0.267
362.779,-0.5728
363.155,0.3249
363.53,-0
363.906,0.1623
364.282,0.7757
364.657,0.865
365.033,-0
365.408,0.7185
365.784,0.2819
366.159,0.051
366.535,-0.0009
366.91,0.6469
367.285,0.3829
367.66,0.1546
368.036,-1.8824
368.411,0.2786
368.786,0.2784
369.161,0.2253
369.536,-0.1047
369.911,-0.3423
370.286,-0.6758
370.661,0.0198
371.036,0.2002
371.411,-0.4762
371.786,0.1986
372.16,0.3042
372.535,-0
372.91,-0.0135
373.285,-0
373.659,0.179
374.034,1.315
374.408,-0
374.783,0.4423
375.157,0.1596
375.532,-0.0697
375.906,-1.9627
376.28,-0.0689
376.655,0.2845
377.029,0.2754
377.403,0.2909
377.777,0.1739
378.151,-0.073
378.525,-0
378.899,0.0844
379.273,0.0831
379.647,0.3582
380.021,0.2077
380.395,-0.0953
380.769,0.8168
381.143,0.3385
381.517,0.1646
381.89,0.3922
382.264,0.1984
382.638,0.1305
383.011,0.1805
383.385,0.4435
383.758,0.2008
384.132,0.3177
384.505,-0.0265
384.878,0.0597
385.252,-0.015
385.625,-0
385.998,0.0971
386.372,0.6104
386.745,0.0846
387.118,0.1492
387.491,0.1592
387.864,0.0917
388.237,0.0826
388.61,0.2469
388.983,0.2047
389.356,0.2931
389.729,0.43
390.101,0.1251
390.474,0.2484
390.847,0.1722
391.219,0.3519
391.592,0.0337
391.965,0.1517
392.337,0.1686
392.71,0.1982
393.082,0.1398
393.455,0.1164
393.827,0.1497
394.199,0.0108
394.572,0.32
394.944,0.0872
395.316,0.1946
395.688,0.1785
396.06,0.1297
396.433,0.0186
396.805,-0.0687
397.177,0.2276
397.549,0.2085
397.92,0.1485
398.292,0.0766
398.664,0.1438
399.036,0.195
399.408,0.0572
399.779,0.1574
400.151,0.1054
400.523,0.2313
400.894,0.2611
401.266,0.0904
401.637,0.2049
402.009,0.1563
402.38,0.1646
402.752,0.1095
403.123,0.2178
403.494,0.2487
403.866,0.0682
404.237,0.1554
404.608,0.1147
404.979,0.0514
405.35,0.1577
405.721,0.1649
406.092,0.0632
406.463,0.1326
406.834,0.1419
407.205,0.1391
407.576,0.1626
407.947,0.1204
408.317,0.0155
408.688,0.0837
409.059,0.1497
409.429,0.1049
409.8,0.0983
410.171,0.1914
410.541,0.105
410.912,0.1638
411.282,0.1593
411.652,0.18
412.023,0.0693
412.393,0.1258
412.763,0.1268
413.133,0.0434
413.504,0.1032
413.874,0.1092
414.244,0.1586
414.614,0.1009
414.984,0.1236
415.354,0.1213
415.724,0.1413
416.094,0.2193
416.463,0.0958
416.833,0.1084
417.203,0.0923
417.573,0.1136
417.942,0.0881
418.312,0.1884
418.682,0.0916
419.051,0.0713
419.421,0.2322
419.79,0.1555
420.159,0.1076
420.529,0.1429
420.898,0.1487
421.267,0.1352
421.637,0.1447
422.006,0.0742
422.375,0.1439
422.744,0.1146
423.113,0.0551
423.482,0.1854
423.851,0.1091
424.22,0.0966
424.589,0.1058
424.958,0.0981
425.327,0.1395
425.695,0.0949
426.064,0.1104
426.433,0.1414
426.802,0.1546
427.17,0.1194
427.539,0.1401
427.907,0.1556
428.276,0.1213
428.644,0.1216
429.013,0.1158
429.381,0.1021
429.749,0.1068
430.118,0.099
430.486,0.1423
430.854,0.0864
431.222,0.1681
431.59,0.0953
431.958,0.1375
432.326,0.1708
432.694,0.1042
433.062,0.135
433.43,0.1271
433.798,0.1469
434.166,0.1601
434.533,0.122
434.901,0.0988
435.269,0.1179
435.636,0.1171
436.004,0.1372
436.372,0.0917
436.739,0.1396
437.107,0.1313
437.474,0.1595
437.841,0.1371
438.209,0.1412
438.576,0.1403
438.943,0.11
439.31,0.1207
439.678,0.0978
440.045,0.1353
440.412,0.1149
440.779,0.1297
441.146,0.1117
441.513,0.1481
441.88,0.1374
442.247,0.1718
442.613,0.1283
442.98,0.1383
443.347,0.1315
443.714,0.1316
444.08,0.1334
444.447,0.1258
444.813,0.0999
445.18,0.1424
445.546,0.1354
445.913,0.1269
446.279,0.1074
446.646,0.0952
447.012,0.1387
447.378,0.1724
447.744,0.1245
448.111,0.1166
448.477,0.1424
448.843,0.1547
449.209,0.1622
449.575,0.1298
449.941,0.1186
450.307,0.131
450.673,0.1263
451.039,0.1382
451.404,0.1233
451.77,0.1239
452.136,0.1493
452.502,0.1432
452.867,0.119
453.233,0.1354
453.598,0.1286
453.964,0.1301
454.329,0.1498
454.695,0.1452
455.06,0.1246
455.425,0.1349
455.791,0.1645
456.156,0.1292
456.521,0.1412
456.886,0.1257
457.251,0.1253
457.616,0.1411
457.981,0.1412
458.346,0.1292
458.711,0.1342
459.076,0.1303
459.441,0.1504
459.806,0.1414
460.171,0.1241
460.535,0.1433
460.9,0.1487
461.265,0.1318
461.629,0.1394
461.994,0.1265
462.358,0.1469
462.723,0.1339
463.087,0.176
463.452,0.1338
463.816,0.16
464.18,0.1222
464.544,0.1536
464.909,0.1526
465.273,0.1124
465.637,0.153
466.001,0.1241
466.365,0.1506
466.729,0.1519
467.093,0.1329
467.457,0.155
467.821,0.1312
468.185,0.1411
468.548,0.1183
468.912,0.1353
469.276,0.1433
469.639,0.1314
470.003,0.1253
470.367,0.1282
470.73,0.1458
471.094,0.1354
471.457,0.1449
471.82,0.1575
472.184,0.1497
472.547,0.1427
472.91,0.1429
473.274,0.1321
473.637,0.1446
474,0.1543
474.363,0.1365
474.726,0.1532
475.089,0.1579
475.452,0.1381
475.815,0.1616
476.178,0.1821
476.54,0.1453
476.903,0.1474
477.266,0.1476
477.629,0.1318
477.991,0.1483
478.354,0.1295
478.716,0.1422
479.079,0.1446
479.441,0.1633
479.804,0.1566
480.166,0.1564
480.529,0.1547
480.891,0.1344
481.253,0.1496
481.615,0.1437
481.978,0.1412
482.34,0.1523
482.702,0.1569
483.064,0.1532
483.426,0.1412
483.788,0.146
484.15,0.1446
484.512,0.1436
484.873,0.145
485.235,0.1428
485.597,0.1528
485.959,0.1484
486.32,0.1469
486.682,0.1477
487.043,0.1407
487.405,0.1481
487.766,0.148
488.128,0.1461
488.489,0.1385
488.85,0.1503
489.212,0.1532
489.573,0.1543
489.934,0.1507
490.295,0.1557
490.657,0.1473
491.018,0.1417
491.379,0.1544
491.74,0.1333
492.101,0.1498
492.461,0.1634
492.822,0.1418
493.183,0.1584
493.544,0.1419
493.905,0.1346
494.265,0.1433
494.626,0.1517
494.987,0.1554
495.347,0.1428
495.708,0.1379
496.068,0.1419
496.429,0.1451
496.789,0.1505
497.149,0.1506
497.509,0.162
497.87,0.1585
498.23,0.1477
498.59,0.1505
498.95,0.1638
499.31,0.1509
