wave-length (nm),A
339.78,-0.4308
340.159,-0.4308
340.537,-0.4308
340.915,-0
341.293,0.0353
341.671,0.1982
342.049,0.113
342.427,-0.7844
342.805,0.0143
343.183,-0.0766
343.561,0.2082
343.939,-0.4187
344.317,-0
344.694,-0
345.072,0.4165
345.45,-0
345.827,-0.3107
346.205,0.1525
346.583,-0.0899
346.96,-1.5563
347.338,-0
347.715,0.2179
348.092,-0
348.47,-0.0613
348.847,0.9284
349.224,-0.0393
349.601,0.4415
349.979,0.1039
350.356,0.6494
350.733,-0
351.11,-0.0913
351.487,0.1188
351.864,-0
352.241,-0
352.618,-0.5236
352.995,0.0119
353.372,-0
353.748,-0.2669
354.125,-0
354.502,-0
354.878,0.4745
355.255,-0
355.632,-0.251
356.008,-0.1496
356.385,-0
356.761,-0.4411
357.137,-0
357.514,0.1803
357.89,-0
358.266,-0
358.643,0.0556
359.019,-0
359.395,-0
359.771,0.5891
360.147,0.0812
360.523,-0.6349
360.899,0.2666
361.275,-0.3561
361.651,0.5209
362.027,1.9358
362.403,-0.1473
362.779,-1.3441
363.155,-0
363.53,0.1817
363.906,0.0867
364.282,-0
364.657,0.1178
365.033,0.3826
365.408,0.14
365.784,0.2683
366.159,0.4122
366.535,0.2725
366.91,0.2316
367.285,1.0006
367.66,0.0809
368.036,-1.583
368.411,0.4232
368.786,0.7033
369.161,0.7351
369.536,1.2559
369.911,-0.4565
370.286,0.0308
370.661,-0.155
371.036,0.826
371.411,-0.1076
371.786,0.1244
372.16,0.5169
372.535,-0
372.91,0.315
373.285,-0
373.659,0.1229
374.034,0.5597
374.408,0.3969
374.783,0.4338
375.157,-0
375.532,0.3469
375.906,-1.3721
376.28,0.2591
376.655,0.919
377.029,0.1499
377.403,0.1535
377.777,0.1205
378.151,-0.1562
378.525,1.1159
378.899,0.249
379.273,0.1538
379.647,0.5947
380.021,-0.2217
380.395,0.982
380.769,-0.0202
381.143,0.2292
381.517,0.2171
381.89,0.4936
382.264,0.2483
382.638,-0.034
383.011,0.0712
383.385,0.4268
383.758,0.1957
384.132,0.1434
384.505,0.0447
384.878,0.6315
385.252,0.1693
385.625,1.2631
385.998,0.1694
386.372,0.7341
386.745,0.1201
387.118,0.37
387.491,0.2392
387.864,0.1456
388.237,0.4805
388.61,0.3092
388.983,0.3047
389.356,0.4397
389.729,0.3503
390.101,0.255
390.474,0.5915
390.847,0.3368
391.219,0.343
391.592,0.2069
391.965,0.226
392.337,0.4256
392.71,0.3178
393.082,0.2862
393.455,0.1923
393.827,0.2941
394.199,0.2466
394.572,0.5015
394.944,0.3119
395.316,0.2735
395.688,0.2804
396.06,0.1423
396.433,0.1345
396.805,-0.0073
397.177,0.4792
397.549,0.1666
397.92,0.4113
398.292,0.2382
398.664,0.141
399.036,0.262
399.408,0.1903
399.779,0.2884
400.151,0.3385
400.523,0.2592
400.894,0.2931
401.266,0.2109
401.637,0.3308
402.009,0.1773
402.38,0.2663
402.752,0.2543
403.123,0.2588
403.494,0.4287
403.866,0.3855
404.237,0.1755
404.608,0.2577
404.979,0.1568
405.35,0.2541
405.721,0.2598
406.092,0.2077
406.463,0.252
406.834,0.334
407.205,0.2777
407.576,0.2286
407.947,0.2502
408.317,0.1672
408.688,0.1826
409.059,0.1697
409.429,0.1924
409.8,0.2562
410.171,0.2586
410.541,0.194
410.912,0.2733
411.282,0.2456
411.652,0.2249
412.023,0.1851
412.393,0.2579
412.763,0.1969
413.133,0.1384
413.504,0.1763
413.874,0.2437
414.244,0.2128
414.614,0.2419
414.984,0.163
415.354,0.1932
415.724,0.3552
416.094,0.2259
416.463,0.2584
416.833,0.2271
417.203,0.1748
417.573,0.2328
417.942,0.163
418.312,0.2633
418.682,0.1831
419.051,0.1737
419.421,0.2522
419.79,0.2055
420.159,0.1969
420.529,0.2016
420.898,0.1978
421.267,0.1624
421.637,0.1966
422.006,0.2099
422.375,0.2561
422.744,0.2656
423.113,0.2109
423.482,0.1969
423.851,0.1657
424.22,0.1868
424.589,0.2041
424.958,0.1735
425.327,0.2155
425.695,0.2063
426.064,0.1681
426.433,0.2133
426.802,0.2093
427.17,0.1957
427.539,0.23
427.907,0.2219
428.276,0.1832
428.644,0.1971
429.013,0.1659
429.381,0.1777
429.749,0.2097
430.118,0.2025
430.486,0.2318
430.854,0.181
431.222,0.1779
431.59,0.1986
431.958,0.2261
432.326,0.2179
432.694,0.1792
433.062,0.2103
433.43,0.2045
433.798,0.1891
434.166,0.2073
434.533,0.1797
434.901,0.1852
435.269,0.1691
435.636,0.179
436.004,0.2141
436.372,0.1566
436.739,0.2121
437.107,0.2071
437.474,0.2337
437.841,0.1779
438.209,0.2215
438.576,0.2255
438.943,0.1771
439.31,0.1824
439.678,0.2179
440.045,0.1828
440.412,0.1882
440.779,0.2117
441.146,0.1789
441.513,0.2127
441.88,0.2203
442.247,0.1821
442.613,0.1903
442.98,0.1915
443.347,0.2131
443.714,0.2128
444.08,0.2291
444.447,0.2156
444.813,0.1661
445.18,0.2222
445.546,0.1877
445.913,0.2063
446.279,0.1908
446.646,0.1901
447.012,0.1791
447.378,0.1957
447.744,0.2053
448.111,0.2017
448.477,0.1638
448.843,0.2221
449.209,0.2252
449.575,0.189
449.941,0.1985
450.307,0.2038
450.673,0.2033
451.039,0.2004
451.404,0.2046
451.77,0.1913
452.136,0.2176
452.502,0.2434
452.867,0.2233
453.233,0.1796
453.598,0.2022
453.964,0.2122
454.329,0.2121
454.695,0.2035
455.06,0.2085
455.425,0.1917
455.791,0.1968
456.156,0.1942
456.521,0.1935
456.886,0.1877
457.251,0.1828
457.616,0.1877
457.981,0.2064
458.346,0.1865
458.711,0.2142
459.076,0.175
459.441,0.1827
459.806,0.1918
460.171,0.1631
460.535,0.2174
460.9,0.2179
461.265,0.1992
461.629,0.2102
461.994,0.1849
462.358,0.189
462.723,0.1908
463.087,0.2198
463.452,0.1836
463.816,0.2135
464.18,0.1813
464.544,0.1969
464.909,0.1891
465.273,0.1688
465.637,0.2083
466.001,0.176
466.365,0.1981
466.729,0.2006
467.093,0.209
467.457,0.1907
467.821,0.1993
468.185,0.207
468.548,0.1923
468.912,0.2057
469.276,0.2019
469.639,0.1856
470.003,0.1712
470.367,0.1582
470.73,0.1602
471.094,0.1717
471.457,0.2054
471.82,0.1806
472.184,0.194
472.547,0.1996
472.91,0.1944
473.274,0.1975
473.637,0.2181
474,0.1909
474.363,0.1856
474.726,0.1893
475.089,0.1874
475.452,0.1979
475.815,0.2016
476.178,0.2336
476.54,0.1979
476.903,0.1993
477.266,0.2041
477.629,0.2107
477.991,0.2019
478.354,0.1945
478.716,0.1964
479.079,0.185
479.441,0.2016
479.804,0.2087
480.166,0.2059
480.529,0.2016
480.891,0.1942
481.253,0.1904
481.615,0.1952
481.978,0.1863
482.34,0.2095
482.702,0.1955
483.064,0.1927
483.426,0.1911
483.788,0.1908
484.15,0.196
484.512,0.1548
484.873,0.1886
485.235,0.192
485.597,0.1799
485.959,0.1963
486.32,0.1901
486.682,0.1908
487.043,0.1858
487.405,0.1875
487.766,0.2005
488.128,0.2
488.489,0.1815
488.85,0.1914
489.212,0.2043
489.573,0.1708
489.934,0.1898
490.295,0.1969
490.657,0.1937
491.018,0.1947
491.379,0.1939
491.74,0.1879
492.101,0.1881
492.461,0.1989
492.822,0.1863
493.183,0.1948
493.544,0.1875
493.905,0.1828
494.265,0.1975
494.626,0.1939
494.987,0.2028
495.347,0.1889
495.708,0.1953
496.068,0.1968
496.429,0.1881
496.789,0.1859
497.149,0.2035
497.509,0.1975
497.87,0.1955
498.23,0.1845
498.59,0.1875
498.95,0.1919
499.31,0.1947
499.67,0.1916
500.03,0.1873
500.39,0.1844
500.75,0.1845
501.11,0.1989
501.47,0.172
501.83,0.191
502.189,0.1874
502.549,0.1986
502.909,0.1948
503.268,0.1688
503.628,0.1877
503.987,0.1857
504.347,0.1968
504.706,0.1867
505.065,0.1899
505.425,0.1825
505.784,0.1975
506.143,0.1946
506.502,0.1934
506.862,0.199
507.221,0.1904
507.58,0.1909
507.939,0.1908
508.298,0.1798
508.657,0.1986
