wave-length (nm),A
339.78,-0.5686
340.159,-0.5686
340.537,-0.5686
340.915,-0
341.293,-0.1374
341.671,0.2684
342.049,0.3905
342.427,-0
342.805,0.0312
343.183,-1.1362
343.561,-0.0753
343.939,0.3465
344.317,0.6385
344.694,-0.5067
345.072,-0.2869
345.45,-0.8239
345.827,-0.2332
346.205,-0.2641
346.583,0.3502
346.96,-1.1919
347.338,-0
347.715,0.1149
348.092,-0
348.47,0.5936
348.847,-0.2007
349.224,-0.2378
349.601,0.1836
349.979,-0.3362
350.356,0.0728
350.733,-0
351.11,-0
351.487,-0
351.864,-0
352.241,-0
352.618,-0.5948
352.995,-0.5576
353.372,-0.4349
353.748,-0
354.125,-0
354.502,-0.253
354.878,-0.0431
355.255,0.337
355.632,-0.0291
356.008,0.0348
356.385,-0.6103
356.761,0.2796
357.137,0.0117
357.514,0.2778
357.89,-0
358.266,-0
358.643,0.4715
359.019,-0
359.395,-0
359.771,0.48
360.147,-0
360.523,-0
360.899,-0.2535
361.275,-0.5779
361.651,0.8402
362.027,0.8944
362.403,-0.2082
362.779,-0.7027
363.155,0.0333
363.53,0.241
363.906,1.2926
364.282,-0
364.657,-0
365.033,0.2215
365.408,0.4073
365.784,-0
366.159,0.1207
366.535,0.0801
366.91,-0.018
367.285,0.2916
367.66,0.077
368.036,-1.8676
368.411,0.3545
368.786,0.6099
369.161,0.0053
369.536,0.2911
369.911,-0.5799
370.286,-0.6138
370.661,0.2118
371.036,0.6973
371.411,-0
371.786,0.0208
372.16,0.2455
372.535,-0
372.91,-0.0511
373.285,1.055
373.659,0.108
374.034,0.5368
374.408,-0.1207
374.783,0.1961
375.157,-0
375.532,-0.0887
375.906,-1.8705
376.28,-0.0882
376.655,0.1239
377.029,0.4976
377.403,0.3529
377.777,0.1321
378.151,0.1926
378.525,0.0977
378.899,0.0078
379.273,0.0234
379.647,0.0976
380.021,0.1611
380.395,0.0588
380.769,-0.1211
381.143,0.3266
381.517,0.4434
381.89,0.7728
382.264,0.1758
382.638,-0.1416
383.011,0.0431
383.385,0.4527
383.758,-0.0681
384.132,0.0431
384.505,-0.1846
384.878,-0.0427
385.252,0.0908
385.625,0.0782
385.998,0.2574
386.372,-0.0797
386.745,0.0604
387.118,-0.0546
387.491,0.0267
387.864,0.1105
388.237,0.067
388.61,0.1311
388.983,0.1246
389.356,0.1296
389.729,0.1785
390.101,0.0951
390.474,0.2031
390.847,0.1633
391.219,0.3801
391.592,0.1393
391.965,0.0963
392.337,0.0644
392.71,0.0059
393.082,0.1358
393.455,0.0265
393.827,0.1426
394.199,-0.0131
394.572,0.3118
394.944,0.0679
395.316,0.1585
395.688,0.1268
396.06,-0.0757
396.433,-0.0782
396.805,-0.1473
397.177,0.052
397.549,0.1681
397.92,0.0388
398.292,0.1892
398.664,-0.0195
399.036,0.0793
399.408,0.0788
399.779,0.0946
400.151,0.1108
400.523,0.2085
400.894,0.1831
401.266,0.0048
401.637,0.1699
402.009,0.0315
402.38,0.0696
402.752,0.0563
403.123,0.1292
403.494,0.1875
403.866,0.1976
404.237,0.1686
404.608,0.1269
404.979,-0.0149
405.35,0.0753
405.721,0.1036
406.092,0.09
406.463,0.0856
406.834,0.2325
407.205,0.1482
407.576,0.067
407.947,0.0558
408.317,-0.0109
408.688,0.085
409.059,0.0785
409.429,0.0548
409.8,0.0587
410.171,0.0858
410.541,0.0513
410.912,0.108
411.282,0.1079
411.652,0.0936
412.023,-0.0049
412.393,0.0383
412.763,0.0314
413.133,0.0179
