wave-length (nm),A
339.78,-0.6839
340.159,-0.6839
340.537,-0.6839
340.915,-0
341.293,0.22
341.671,0.1492
342.049,0.5939
342.427,-0
342.805,0.2417
343.183,-0.7756
343.561,0.068
343.939,-0
344.317,-0
344.694,-0.5769
345.072,-0.3084
345.45,-0
345.827,-0.2396
346.205,0.1121
346.583,-0.0203
346.96,-1.7306
347.338,-0.3039
347.715,0.0787
348.092,-0
348.47,-0.0047
348.847,-0
349.224,0.2825
349.601,-0
349.979,-0.4823
350.356,0.9429
350.733,-0
351.11,-0.3652
351.487,0.2484
351.864,-0
352.241,-1.3721
352.618,-0
352.995,-0.5829
353.372,-0.3236
353.748,0.6284
354.125,-0
354.502,-0
354.878,0.0498
355.255,-0
355.632,-0
356.008,0.111
356.385,1.4191
356.761,0.7568
357.137,-0
357.514,0.2608
357.89,-0
358.266,-0.061
358.643,-0
359.019,-0
359.395,-0
359.771,0.9571
360.147,0.2159
360.523,-0
360.899,0.0425
361.275,-0.1982
361.651,0.3631
362.027,0.0063
362.403,0.499
362.779,-0.8738
363.155,-0
363.53,1.1005
363.906,0.3859
364.282,-0
364.657,-0.0267
365.033,0.9589
365.408,0.508
365.784,0.4209
366.159,-0.131
366.535,-0
366.91,0.0379
367.285,1.2768
367.66,0.2294
368.036,-1.3904
368.411,0.3338
368.786,0.377
369.161,0.3147
369.536,0.0863
369.911,-0
370.286,-0
370.661,0.1045
371.036,0.425
371.411,-0
371.786,0.1315
372.16,-0
372.535,-0
372.91,-0
373.285,-0
373.659,0.4672
374.034,0.1236
374.408,0.3969
374.783,0.6811
375.157,1.3341
375.532,-0
375.906,0.3522
376.28,1.0475
376.655,0.588
377.029,0.3557
377.403,0.7009
377.777,0.2525
378.151,0.0776
378.525,0.3412
378.899,-0.0113
379.273,0.2354
379.647,0.0943
380.021,0.4122
380.395,0.5579
380.769,0.4461
381.143,0.4387
381.517,0.376
381.89,-0
382.264,0.2241
382.638,0.294
383.011,0.0166
383.385,0.3447
383.758,0.4135
384.132,-0
384.505,0.359
384.878,0.515
385.252,0.3793
385.625,-0
385.998,1.0107
386.372,-0
386.745,0.1028
387.118,0.5993
387.491,0.2093
387.864,0.3499
388.237,0.2499
388.61,0.6413
388.983,0.4222
389.356,0.5009
389.729,0.4122
390.101,0.3158
390.474,-0
390.847,0.5475
391.219,0.4478
391.592,0.2564
391.965,0.5798
392.337,0.5642
392.71,0.7593
