wave-length (nm),A
339.78,-0
340.159,-0
340.537,-0
340.915,-0
341.293,-0.2014
341.671,-0
342.049,0.3565
342.427,-0
342.805,0.1274
343.183,-0.459
343.561,-0.4124
343.939,-0.5534
344.317,-0
344.694,-0.3419
345.072,-0.2355
345.45,-0
345.827,-0.4497
346.205,-0.5712
346.583,-0
346.96,-0
347.338,-0
347.715,0.3822
348.092,-0
348.47,0.1809
348.847,-0
349.224,-0.0227
349.601,-0
349.979,-0.0188
350.356,-0.0309
350.733,-0
351.11,-0
351.487,0.0045
351.864,0.689
352.241,-1.4867
352.618,-0.3046
352.995,-0.1737
353.372,-0
353.748,-0
354.125,-0.2751
354.502,-0.2341
354.878,-0.0741
355.255,0.2388
355.632,-0.295
356.008,-0.0631
356.385,-0
356.761,-0.3252
357.137,0.0342
357.514,0.2393
357.89,0.0479
358.266,-0.6021
358.643,-0
359.019,-0
359.395,-0.7599
359.771,0.8169
360.147,0.7802
360.523,0.2604
360.899,-0.0949
361.275,-0.3034
361.651,0.1078
362.027,0.1799
362.403,-0
362.779,-1.0112
363.155,0.6701
363.53,0.2071
363.906,0.3581
364.282,1.1737
364.657,0.0769
365.033,0.3826
365.408,0.3975
365.784,0.2083
366.159,-0.0254
366.535,-0.138
366.91,0.4755
367.285,0.0032
367.66,0.2078
368.036,-1.9243
368.411,0.168
368.786,2.1012
369.161,0.2886
369.536,-0.0754
369.911,-0.2215
370.286,-0
370.661,-0.0444
371.036,0.1645
371.411,-0.6453
371.786,0.0648
372.16,0.1881
372.535,-0
372.91,-0.0568
373.285,0.3446
373.659,0.3603
374.034,-0.1753
374.408,0.3969
374.783,0.2588
375.157,0.5641
375.532,0.0034
375.906,-1.216
376.28,0.6454
376.655,-0.155
377.029,0.4626
377.403,0.5934
377.777,0.1948
378.151,-0.0597
378.525,0.2768
378.899,0.01
379.273,0.0627
379.647,0.2385
380.021,0.0778
380.395,0.108
380.769,0.1371
381.143,0.2209
381.517,0.1494
381.89,0.3976
382.264,0.3108
382.638,-0.0052
383.011,0.1846
383.385,0.3793
383.758,0.1642
384.132,0.1635
384.505,0.174
384.878,0.6591
385.252,0.1271
385.625,0.1702
385.998,0.1545
386.372,0.4604
386.745,0.0288
387.118,0.2768
387.491,0.3242
387.864,0.1542
388.237,0.0845
388.61,0.3601
388.983,0.2013
389.356,0.1693
389.729,0.1883
390.101,0.1078
390.474,0.221
390.847,0.491
391.219,0.2452
391.592,0.1319
391.965,-0.0378
392.337,0.1214
392.71,0.1076
393.082,0.2622
393.455,0.2074
393.827,0.2088
394.199,0.1998
394.572,0.1211
394.944,0.1585
395.316,0.2036
395.688,0.238
396.06,-0.0179
396.433,0.0779
396.805,-0.0323
397.177,0.4137
397.549,0.2129
397.92,0.3381
398.292,0.2909
398.664,0.1322
399.036,0.2661
399.408,0.0145
399.779,0.2785
400.151,0.1611
400.523,0.3629
400.894,0.2479
401.266,0.1509
401.637,0.2161
402.009,0.2148
402.38,0.3156
402.752,0.206
403.123,0.2588
403.494,0.1943
403.866,0.2438
404.237,0.1617
404.608,0.2663
404.979,0.1538
405.35,0.1985
405.721,0.172
406.092,0.1572
406.463,0.2459
406.834,0.2809
407.205,0.2506
407.576,0.1417
407.947,0.1904
408.317,0.1452
408.688,0.1677
409.059,0.1542
409.429,0.2557
409.8,0.1986
410.171,0.2078
410.541,0.0772
410.912,0.3334
411.282,0.1889
411.652,0.171
412.023,0.2322
412.393,0.1167
412.763,0.1499
413.133,0.1567
413.504,0.1197
413.874,0.1969
414.244,0.1828
414.614,0.1489
414.984,0.1878
415.354,0.2214
415.724,0.3184
416.094,0.2627
416.463,0.1881
416.833,0.1382
417.203,0.2385
417.573,0.1614
417.942,0.1744
418.312,0.2669
418.682,0.1763
419.051,0.1572
419.421,0.1962
419.79,0.1741
420.159,0.1852
420.529,0.1551
420.898,0.2064
421.267,0.1515
421.637,0.2151
422.006,0.1438
422.375,0.2147
422.744,0.1963
423.113,0.2082
423.482,0.187
423.851,0.209
424.22,0.1699
424.589,0.1717
424.958,0.1926
425.327,0.2119
425.695,0.2099
426.064,0.167
426.433,0.1951
426.802,0.1568
427.17,0.1668
427.539,0.1891
427.907,0.1494
428.276,0.1723
428.644,0.1864
429.013,0.1696
429.381,0.1705
429.749,0.1887
430.118,0.1883
430.486,0.1791
430.854,0.1502
431.222,0.1895
431.59,0.18
431.958,0.1708
432.326,0.1829
432.694,0.1414
433.062,0.1919
433.43,0.173
433.798,0.1884
434.166,0.1854
434.533,0.1556
434.901,0.2069
435.269,0.1594
435.636,0.1607
436.004,0.1996
436.372,0.1301
436.739,0.2083
437.107,0.1733
437.474,0.193
437.841,0.161
438.209,0.1979
438.576,0.2058
438.943,0.1594
439.31,0.194
439.678,0.1809
440.045,0.1618
440.412,0.1895
440.779,0.1951
441.146,0.209
441.513,0.1982
441.88,0.1869
442.247,0.1924
442.613,0.1977
442.98,0.1735
443.347,0.1317
443.714,0.1941
444.08,0.2061
444.447,0.2039
444.813,0.1355
445.18,0.1776
445.546,0.1718
445.913,0.1887
446.279,0.1908
446.646,0.1358
447.012,0.1552
447.378,0.1876
447.744,0.1792
448.111,0.183
448.477,0.1771
448.843,0.1993
449.209,0.2073
449.575,0.1801
449.941,0.1579
450.307,0.2
450.673,0.1849
451.039,0.1993
451.404,0.1975
451.77,0.187
452.136,0.187
452.502,0.1903
452.867,0.1574
453.233,0.1896
453.598,0.1849
453.964,0.1755
454.329,0.1962
454.695,0.1642
455.06,0.2062
455.425,0.1697
455.791,0.1795
456.156,0.1937
456.521,0.2023
456.886,0.1754
457.251,0.1639
457.616,0.1737
457.981,0.1777
458.346,0.1795
458.711,0.1837
459.076,0.1454
459.441,0.1881
459.806,0.1682
460.171,0.15
460.535,0.1878
460.9,0.1745
461.265,0.1565
461.629,0.1943
461.994,0.1592
462.358,0.184
462.723,0.1704
463.087,0.2083
463.452,0.1902
463.816,0.1817
464.18,0.1857
464.544,0.1901
464.909,0.1858
465.273,0.1522
465.637,0.1761
466.001,0.1668
466.365,0.1596
466.729,0.1784
467.093,0.1712
467.457,0.1726
467.821,0.1803
468.185,0.1904
468.548,0.1843
468.912,0.1829
469.276,0.1555
469.639,0.1856
470.003,0.1625
470.367,0.1573
470.73,0.1692
471.094,0.1818
471.457,0.1702
471.82,0.1856
472.184,0.1893
472.547,0.1875
472.91,0.1843
473.274,0.1602
473.637,0.1788
474,0.1622
474.363,0.1796
474.726,0.204
475.089,0.1705
475.452,0.1699
475.815,0.183
476.178,0.1857
476.54,0.1955
476.903,0.1963
477.266,0.1893
477.629,0.1617
477.991,0.1764
478.354,0.1727
478.716,0.188
479.079,0.1893
479.441,0.1884
479.804,0.1952
480.166,0.187
480.529,0.1954
480.891,0.1667
481.253,0.1935
481.615,0.1782
481.978,0.1803
482.34,0.1833
482.702,0.177
483.064,0.155
483.426,0.1685
483.788,0.181
484.15,0.1753
484.512,0.1766
484.873,0.186
485.235,0.166
485.597,0.1684
485.959,0.1777
486.32,0.1721
486.682,0.1766
487.043,0.1774
487.405,0.1766
487.766,0.1742
488.128,0.1922
488.489,0.1683
488.85,0.1754
489.212,0.1863
489.573,0.1821
489.934,0.1777
490.295,0.1789
490.657,0.1754
491.018,0.1831
491.379,0.1842
491.74,0.1761
492.101,0.1803
492.461,0.1981
492.822,0.1773
493.183,0.1864
493.544,0.1723
493.905,0.1696
494.265,0.1656
494.626,0.182
494.987,0.1719
495.347,0.1848
495.708,0.1844
496.068,0.1856
496.429,0.1752
496.789,0.1748
497.149,0.1854
497.509,0.1896
497.87,0.1784
498.23,0.1788
498.59,0.1753
498.95,0.1746
499.31,0.1772
499.67,0.1883
500.03,0.1871
500.39,0.1835
500.75,0.1762
501.11,0.1841
501.47,0.1819
501.83,0.1731
502.189,0.1771
502.549,0.176
502.909,0.1633
503.268,0.1659
503.628,0.1685
503.987,0.1844
504.347,0.1872
504.706,0.1844
505.065,0.1785
505.425,0.1669
505.784,0.1775
506.143,0.1676
506.502,0.1742
506.862,0.186
507.221,0.1879
507.58,0.1795
507.939,0.1743
508.298,0.1832
508.657,0.1743
509.015,0.1732
509.374,0.1833
509.733,0.1721
510.092,0.1693
510.451,0.179
510.809,0.1739
511.168,0.1724
511.526,0.1812
511.885,0.1851
512.243,0.1768
512.602,0.1784
512.96,0.1919
513.319,0.1751
513.677,0.1784
514.035,0.1724
514.393,0.1874
514.751,0.1742
515.11,0.1657
515.468,0.1772
515.826,0.1831
516.184,0.1838
516.542,0.1803
516.9,0.1845
517.257,0.1732
517.615,0.1851
517.973,0.1685
518.331,0.1755
518.688,0.1784
519.046,0.1643
519.404,0.1841
519.761,0.1757
520.119,0.1747
520.476,0.166
520.834,0.1819
521.191,0.1787
521.548,0.1745
521.906,0.1815
522.263,0.1794
522.62,0.1753
522.977,0.1862
523.334,0.1652
523.691,0.1833
524.048,0.1747
524.405,0.1836
524.762,0.1868
525.119,0.1853
525.476,0.1737
525.833,0.1785
526.189,0.1837
526.546,0.17
526.903,0.1806
527.259,0.1764
527.616,0.1774
527.973,0.1735
528.329,0.1709
528.685,0.1738
529.042,0.1744
529.398,0.1737
529.755,0.1871
530.111,0.1658
530.467,0.1593
530.823,0.1858
531.179,0.1618
531.535,0.1787
531.891,0.1723
532.247,0.1719
532.603,0.1798
532.959,0.1784
533.315,0.1814
533.671,0.1772
534.027,0.1836
534.382,0.1862
534.738,0.1823
535.094,0.1815
535.449,0.1808
535.805,0.1815
536.16,0.1651
536.516,0.1693
536.871,0.1637
537.226,0.1672
537.582,0.1702
537.937,0.1731
538.292,0.1716
538.647,0.1718
539.003,0.1859
539.358,0.183
539.713,0.1819
540.068,0.1899
540.423,0.1811
540.778,0.1773
541.132,0.1702
541.487,0.1688
541.842,0.1701
542.197,0.1632
542.552,0.166
542.906,0.1634
543.261,0.1648
543.615,0.175
543.97,0.1919
544.324,0.1814
544.679,0.1837
545.033,0.1844
545.387,0.1863
545.742,0.1909
546.096,0.1868
546.45,0.1841
546.804,0.1809
547.158,0.1866
547.512,0.1796
547.866,0.181
548.22,0.1722
548.574,0.1773
548.928,0.1844
549.282,0.1679
549.636,0.1862
549.99,0.1834
550.343,0.1947
550.697,0.1912
551.05,0.1917
551.404,0.191
551.758,0.1798
552.111,0.1859
552.464,0.1832
552.818,0.1693
553.171,0.1886
553.524,0.1865
553.878,0.1894
554.231,0.1786
554.584,0.1953
554.937,0.1912
555.29,0.1914
555.643,0.1851
555.996,0.1979
556.349,0.1884
556.702,0.1846
557.055,0.1941
557.408,0.1883
557.76,0.1901
558.113,0.1884
558.466,0.1921
558.818,0.2011
559.171,0.1919
559.523,0.1889
