wave-length (nm),A
339.78,0.8999
340.159,0.8999
340.537,0.8999
340.915,-0
341.293,-0.3876
341.671,-0
342.049,0.1229
342.427,-0
342.805,0.0178
343.183,-0.6225
343.561,-0.3874
343.939,0.6605
344.317,-0.4704
344.694,-0.7852
345.072,0.2276
345.45,-0
345.827,0.1726
346.205,-0.0905
346.583,2.6425
346.96,-1.5036
347.338,-0
347.715,0.6036
348.092,-0
348.47,0.6049
348.847,-0
349.224,-0.2753
349.601,0.5664
349.979,0.2409
350.356,-0.0415
350.733,-0
351.11,0.7796
351.487,-0
351.864,-0
352.241,-0
352.618,-0.4625
352.995,-0.0811
353.372,-0
353.748,-0
354.125,0.1852
354.502,0.2218
354.878,-0.0455
355.255,0.2071
355.632,-0.1337
356.008,0.2953
356.385,-0
356.761,-0.412
357.137,-0
357.514,0.1832
357.89,-0
358.266,-0.7013
358.643,1.7487
359.019,-0
359.395,-0.182
359.771,0.6004
360.147,-0
360.523,-0.2218
360.899,0.4741
361.275,-0.2143
361.651,-0.0027
362.027,-0.0632
362.403,-0.0805
362.779,-0.8862
363.155,-0
363.53,0.9553
363.906,0.3624
364.282,1.5539
364.657,0.6507
365.033,0.0917
365.408,0.2686
365.784,0.0315
366.159,0.1728
366.535,-0.0057
366.91,0.3155
367.285,-0.0138
367.66,-0.0024
368.036,-0.9678
368.411,0.2868
368.786,0.4223
369.161,0.1162
369.536,0.7669
369.911,-0.2016
370.286,-0
370.661,0.0165
371.036,0.0148
371.411,-0.1937
371.786,0.0485
372.16,0.3394
372.535,-0
372.91,0.129
373.285,1.161
373.659,0.0518
374.034,0.1847
374.408,-0.4049
374.783,0.6011
375.157,0.9928
375.532,0.4963
375.906,-0.9434
376.28,-0.1012
376.655,0.0716
377.029,0.2392
377.403,0.2991
377.777,0.4992
378.151,0.0187
378.525,0.9364
378.899,0.2148
379.273,0.1048
379.647,0.3665
380.021,0.7493
380.395,0.1617
380.769,-0
381.143,0.2402
381.517,0.2259
381.89,0.881
382.264,0.3043
382.638,-0.1028
383.011,0.359
383.385,0.3821
383.758,0.1516
384.132,0.2338
384.505,0.2544
384.878,0.5651
385.252,0.046
385.625,1.0815
385.998,0.3716
386.372,0.7475
386.745,0.2152
387.118,0.2686
387.491,-0.0104
387.864,0.2117
388.237,0.7864
388.61,0.6468
388.983,0.3138
389.356,0.5039
389.729,0.2876
390.101,0.1474
390.474,0.6146
390.847,0.27
391.219,0.2422
391.592,0.3377
391.965,0.6983
392.337,0.2011
392.71,0.1865
393.082,0.2365
393.455,0.4765
393.827,0.234
394.199,0.2477
394.572,0.6049
394.944,0.1954
395.316,0.3925
395.688,0.4983
396.06,0.1397
396.433,0.2714
396.805,0.3174
397.177,0.3527
397.549,0.1916
397.92,0.3644
398.292,0.4367
398.664,0.1702
399.036,0.3883
399.408,0.1479
399.779,0.3795
400.151,0.3651
400.523,0.3125
400.894,0.4343
401.266,0.4926
401.637,0.3933
402.009,0.2537
402.38,0.2943
402.752,0.4509
403.123,0.3139
403.494,0.4255
403.866,0.4061
404.237,0.4584
404.608,0.3265
404.979,0.1488
405.35,0.3331
405.721,0.4782
406.092,0.2771
406.463,0.1635
406.834,0.3989
407.205,0.4111
407.576,0.2485
407.947,0.3504
408.317,0.2781
408.688,0.392
409.059,0.3793
409.429,0.2541
409.8,0.3153
410.171,0.2708
410.541,0.2758
410.912,0.3664
411.282,0.2943
411.652,0.2912
412.023,0.1786
412.393,0.2182
412.763,0.2314
413.133,0.3151
413.504,0.3317
413.874,0.315
414.244,0.3139
414.614,0.2322
414.984,0.2986
415.354,0.3176
415.724,0.4088
416.094,0.3261
416.463,0.3017
416.833,0.2492
417.203,0.3262
417.573,0.3294
417.942,0.271
418.312,0.2251
418.682,0.2236
419.051,0.2549
419.421,0.3321
419.79,0.2338
420.159,0.2833
420.529,0.282
420.898,0.3239
421.267,0.2918
421.637,0.3423
422.006,0.3582
422.375,0.2963
422.744,0.3826
423.113,0.2563
423.482,0.3545
423.851,0.329
424.22,0.3415
424.589,0.3008
424.958,0.3667
425.327,0.346
425.695,0.2703
426.064,0.2798
426.433,0.3766
426.802,0.3114
427.17,0.3711
427.539,0.2807
427.907,0.2822
428.276,0.271
428.644,0.2659
429.013,0.2657
429.381,0.2516
429.749,0.2739
430.118,0.2685
430.486,0.3145
430.854,0.292
431.222,0.2939
431.59,0.3498
431.958,0.3145
432.326,0.2633
432.694,0.2678
433.062,0.3405
433.43,0.2492
433.798,0.2794
434.166,0.3121
434.533,0.2215
434.901,0.2741
435.269,0.2287
435.636,0.253
436.004,0.2715
436.372,0.2805
436.739,0.3055
